Date,Time,Location,Video or Image,Name of (first) image,"If image, name of last image in ""sequence"" with howler in",Nr of capuchins present (min),Howler ID,Carrier ID (or agesex if unclear),Age-sex classes present,Behavior toward howler,,,,,,,,,,,,,,,,,
07/04/2022,18:17:46,CEBUS-05,Video,CEBUS-05-R11__2022-04-07__18-17-46,,5,H2,JOK,"Subadult male (JOK), juvenile, adult male, adult female with infant",Howler climbs all over JOK while he lies down. Looks calm and social (grooming?). Juvenile comes and inspect it. Is wary. Howler maybe vocalizes too?,,,,,,,,,,,,,,,,,
07/04/2022,18:18:56,CEBUS-05,Video,CEBUS-05-R11__2022-04-07__18-18-56,,4,H2,JOK,"Subadult male (JOK), juvenile, adult male","Howler on JOK, male is relaxing. Juvenile is friendly towards JOK. Sequence after has adult males in it 2 min later Vocalizing from howler",,,,,,,,,,,,,,,,,
07/04/2022,18:21:20,CEBUS-05,Video,CEBUS-05-R11__2022-04-07__18-21-20,CEBUS-05-R11__2022-04-07__18-30-32,6,H2,JOK,"Adult male 2x (ABE & MRE), adult female with infant, juvenile 2x","ABE eating coconut and others interest, hear howler out of frame",multiple videos,,,,,,,,,,,,,,,,
07/04/2022,18:33:03,CEBUS-05,Video,CEBUS-05-R11__2022-04-07__18-33-03,,8,H2,JOK,"Adult male 2x (ABE & MRE), adult female with infant, subadult male (JOK), juvenile 3x","JOK carries howler, MRE and adult female threaten subadult with howler. JOK redirects towards something off camera and does aggressive bouncing/headflagging and runs off with howler ",,,,,,,,,,,,,,,,,
10/04/2022,17:09:39,J-STREAM-01,Image,J-STREAM-01-R11__2022-04-10__17-09-39(1),J-STREAM-01-R11__2022-04-10__18-22-20(20),3,H3,JOK ,"Male subadult 3x (JOK, TER, unknown), Juvenile 1x (BAL)","First see Joker alone, then other subadult (TER) and juvenile (BAL) show up at same time as body of infant howler. See Joker and Terry pulling on body of infant howler lying in the stream. Hard to tell if it moves but its face is submerged. It was carried in by one of the capuchins and is carried out of frame by Joker",,,,,,,,,,,,,,,,,
13/04/2022,16:59:59,J-RAN-02,Image,J-RAN-02-R11_2022-04-13_16:59:59,J-RAN-02-R11_2022-04-13_17:00:04,1,H2,Subadult male,Male subadult,Carrying howler dorsal,,,,,,,,,,,,,,,,,
13/04/2022,17:03:58,J-STREAM-02,Image,J-STREAM-02-R11__2022-04-13__17-03-58,J-STREAM-02-R11__2022-04-13__17-10-03,6,H2,JOK,"adult male 2x (MRE & unknown), adult (female?), subadult carrying howler (JOK) and juveniles 2x","Subadult is carrying howler, traveling and visually foraging",,,,,,,,,,,,,,,,,
13/04/2022,18:02:38,CEBUS-06,Video,CEBUS-06-R11__2022-04-13__18-02-38,,3,H2,JOK,"Two subadult males (JOK carrying the howler), one adult male","Subadult carries howler, foraging in the leaf litter scratching itself etc. Howler appears attentive and curious. ",,,,,,,,,,,,,,,,,
13/04/2022,18:04:08,CEBUS-06,Video,CEBUS-06-R11__2022-04-13__18-04-08,,3,H2,JOK,"subadult male (JOK), juvenile 1x, juvenile/subadult 1x","Subadult carries howler, sitting and then goes up a tree",,,,,,,,,,,,,,,,,
13/04/2022,18:08:08,CEBUS-06,Video,CEBUS-06-R11__2022-04-13__18-08-08,,3,H2,JOK,"subadult male (JOK), 2x other subadults","subadult carries howler, foraging ",,,,,,,,,,,,,,,,,
01/05/2022,16:37:00,J-STREAM-01,Image,J-STREAM-01-R11__2022-05-01__16-37-00,J-STREAM-01-R11__2022-05-01__16-38-06,2,H4,Subadult male,subadult male 2x ,subadult male is carrying howler on back. Howler is clinging but not really moving a lot. Very small,,,,,,,,,,,,,,,,,
02/05/2022,12:11:03,J-RAN-09,Image,J-RAN-09-R11_2022-05-02_12:11:03,J-RAN-09-R11_2022-05-02_12:11:48,3,H4,JOK,"Male subadult carrying howler (JOK), adult female carrying infant","Carrying howler, traveling",,,,,,,,,,,,,,,,,
02/05/2022,14:09:31,J-STREAM-11,Image,J-STREAM-11-R11__2022-05-02__14-09-31,J-STREAM-11-R11__2022-05-02__14-10-13,2,H4,JOK,"subadult male (JOK), juvenile",Subadult carrying howler on its back. Howler appears to be clinging,,,,,,,,,,,,,,,,,
03/05/2022,18:04:41,EXP-ANV-01,Video,EXP-ANV-01-R11__2022-05-03__18-04-41,,3,H4,JOK,"Juvenile, adult male (LAR), subadult male (JOK)",subadult male is carrying howler on front. Howler already doesn't look to good. Subadult scrounges on anvil debris together with juvenile while adult opens almendras,,,,,,,,,,,,,,,,,
03/05/2022,18:06:22,EXP-ANV-01,Video,EXP-ANV-01-R11__2022-05-03__18-06-22,,3,H4,JOK,"Juvenile, adult male (LAR), subadult male (JOK)","subadult male puts howler down on tree branch while he eats. Howler is curled up and mostly non responsive, only moves a bit. Subadult lets fruit falls on it etc. Does keep a hand or foot on it. No attention from juvenile or adult",,,,,,,,,,,,,,,,,
03/05/2022,18:08:19,EXP-ANV-01,Video,EXP-ANV-01-R11__2022-05-03__18-08-19,,3,H4,JOK,"Juvenile, adult male (LAR), subadult male (JOK)",same as above. Juvenile comes over and strokes howler's body. Subadult does not inTERene or prevent it. Juvenile comes back to look at howler,,,,,,,,,,,,,,,,,
03/05/2022,18:09:55,EXP-ANV-01,Video,EXP-ANV-01-R11__2022-05-03__18-09-55,,3,H4,JOK,"Juvenile, adult male (LAR), subadult male (JOK)",subadult eating over body of howler. Howler not moving a lot. Using howler's body as armrest (so not treating it as before),,,,,,,,,,,,,,,,,
03/05/2022,18:11:39,EXP-ANV-01,Video,EXP-ANV-01-R11__2022-05-03__18-11-39,,3,H4,JOK,"Juvenile, adult male (LAR), subadult male (JOK)",Adult male comes over to inspect the howler. Subadult touches adult when he approaches and lets him gets close. Adult male mostly peer at howler,,,,,,,,,,,,,,,,,
03/05/2022,18:13:12,EXP-ANV-01,Video,EXP-ANV-01-R11__2022-05-03__18-13-12,,3,H4,JOK,"adult male 2x (LAR & ABE), subadult male (JOK)","Adult male using tools, subadult male still eating while sitting with the howler. Howler really not moving a lot. Other adult male (Abe?) comes up and touches and inspects the howler. AfTERhe's left the subadult moves and carries the howler in his hand",,,,,,,,,,,,,,,,,
03/05/2022,18:14:22,EXP-ANV-01,Video,EXP-ANV-01-R11__2022-05-03__18-14-22,,2,H4,JOK,"adult male (LAR), subadult male (JOK)","Adult male using tools, subadult male scrounging from debris with howler lying next to him",,,,,,,,,,,,,,,,,
03/05/2022,18:15:47,EXP-ANV-01,Video,EXP-ANV-01-R11__2022-05-03__18-15-47,,2,H4,JOK,Subadult (JOK) and adult male (LAR),"see subadult eating anvil debris with howler lying at its feet, not moving a lot. Adult male shows up and subadult is displaced and puts howler down, scrounges on almendras. Have other angle in EXP-ANV-02. in next picture see subadult leave (without howler?)",,,,,,,,,,,,,,,,,
03/05/2022,18:18:42,EXP-ANV-02,Image,EXP-ANV-02-R11__2022-05-03__18-18-42,EXP-ANV-02-R11__2022-05-03__18-18-56,2,H4,JOK,subadult male (JOK) and adult male (LAR),"other angle. see howler lying on the ground, not moving a lot, next to anvil. subadult is scrounging on adult male opening almendras on anvil. ",,,,,,,,,,,,,,,,,
04/05/2022,00:00:00,EXP-ANV-02,Image,EXP-ANV-02-R11__2022-05-04__00-00-00,,0,H4,,,Automatic picture at night. See what looks like howler lying still next to anvil where subadult left it. So was likely left here overnight. ,,,,,,,,,,,,,,,,,
04/05/2022,07:37:47,EXP-ANV-01,Video,EXP-ANV-01-R11__2022-05-04__07-37-47,,2,H4,,juvenile and adult male (SPT),"howler is lying on the ground next to the anvil. Juvenile first inspects it and bites its tail/appendage. Juvenile starts to use anvil, then adult male shows up and juvenile is submissive and yanks the howler. Adult male inspects howler. Juvenile throws it around. Adult male starts using the anvil. (Coalition against howler with adult male?). ",,,,,,,,,,,,,,,,,
04/05/2022,07:38:49,EXP-ANV-02,Image,EXP-ANV-02-R11__2022-05-04__07-38-49,EXP-ANV-02-R11__2022-05-04__09-06-56,3,H4,,juvenile and adult male (SPT),"Many sequences in a row (spanning 1.5 hours), showing other angle of juvenile harrassing howler and adult male inspecting it. See juvenile biting it and then sticking out its tongue. Then juvenile leaves, adult still inspects it in between tool use. Juvenile comes back to harass it. Adult inspects it too. Other juvenile comes to inspect it too",,,,,,,,,,,,,,,,,
04/05/2022,07:39:00,EXP-ANV-01,Video,EXP-ANV-01-R11__2022-05-04__07-39-00,,2,H4,,juvenile and adult male (SPT),"howler is lying on the ground, is moving but not a lot. Juvenile drags it out of view of the  camera. Adult male is using the anvil (and keeps doing so for many sequences). Occassional inspecting of howler. ",,,,,,,,,,,,,,,,,
04/05/2022,09:13:01,EXP-ANV-02,Image,EXP-ANV-02-R11__2022-05-04__09-13-01,EXP-ANV-02-R11__2022-05-04__09-13-34,1,H4,JOK,subadult male,"subadult male (JOK) inspects howler, picks it up. Have alternative video angel",,,,,,,,,,,,,,,,,
04/05/2022,09:15:52,EXP-ANV-01,Video,EXP-ANV-01-R11__2022-05-04__09-15-52,EXP-ANV-01-R11__2022-05-04__09-19-43,3,H4,JOK,"subadult male (JOK and TER), adult male","JOK picked up howler and is carrying it again. Howler seems very non-responsive but moves a bit. After this see subadult (TER) use tools, howler lying out of view. Adult male also shows up and supplants subadult male from anvil",,,,,,,,,,,,,,,,,
04/05/2022,09:35:59,EXP-ANV-01,Video,EXP-ANV-01-R11__2022-05-04__09-34-59,EXP-ANV-01-R11__2022-05-04__09-42-47,2,H4,JOK,"subadult male, adult male (LAR)","Several videos in a row. JOK is scrounging on anvil debris, sitting with howler. Howler moving a bit but not looking good. Adult male is using tools on almendras on anvil. JOK leaves frame carrying howler at 9:42",,,,,,,,,,,,,,,,,
05/05/2022,17:35:56,CEBUS-02,Video,CEBUS-02-R11__2022-05-05__17-35-56,,1,H4,JOK,subadult male (JOK),Joker carrying the body of the (dead?) howler in one hand while traveling across the anvil,,,,,,,,,,,,,,,,,
07/09/2022,17:52:11,CEBUS-04,Video,CEBUS-04-R12__2022-09-07__17-52-11,CEBUS-04-R12__2022-09-07__17-53-36,1,H5,offscreen,Subadult male,Hear howler and alarm call for bird or something in the trees. Hear adult female howler contact call to infant (video 17-53-36) and infant responding with chatter (not lost call),Two videos in a row,,,,,,,,,,,,,,,,
07/09/2022,17:57:46,CEBUS-02,Video,CEBUS-02-R12__2022-09-07__17-57-46,CEBUS-02-R12__2022-09-07__18-03-58,5,H5,offscreen,"Subadult male, Adult male (SMG), Juvenile male (2x), Adult male",Hear howler off-screen. Mostly tool use,several videos in a row,,,,,,,,,,,,,,,,
07/09/2022,17:58:49,CEBUS-04,Video,CEBUS-04-R12__2022-09-07__17-58-49,CEBUS-04-R12__2022-09-07__18-01-03,3,H5,BAL,"Subadult male, juvenile male (BAL) + howler, juvenile male","BAL with howler on back. Howler lost calling, BAL using tools . Juvenile comes inspect the howler and BAL turns howler away from them, juvenile avoids BAL",several videos in a row,,,,,,,,,,,,,,,,
07/09/2022,18:05:11,CEBUS-02,Video,CEBUS-02-R12__2022-09-07__18-05-11,CEBUS-02-R12__2022-09-07__18-10-44,6,H5,BAL,"Subadult male 2x (SPT +?), juvenile male (BAL) + howler, juvenile (2x), adult male (SMG)","BAL with howler on back, using tools, 18:08 right in front of camera. After that hear howlers in the background",several videos in a row,,,,,,,,,,,,,,,,
07/09/2022,18:17:16,CEBUS-02,Video,CEBUS-02-R12__2022-09-07__18-17-16,CEBUS-02-R12__2022-09-07__18-24-29,11,H5,BAL,"Adult male 2x (ABE and MRE), adult female 2x, Subadult male, juvenile male (BAL) + howler, juvenile 5x","howler right in front of camera on BAL using tools. Visible infant howler lost calls, and we hear other infant howler calling further away. Also hear response from adult howlers, including back and forth of what appears to be adult female with one of infants, adult females call sound like a wail/screech (in video 18-21-07). Next video capuchins seem alert.  At 18:18:25 have alarm call from ABE + vigilance up (maybe howlers are there?)",several videos in a row,,,,,,,,,,,,,,,,
07/09/2022,18:21:19,CEBUS-04,Video,CEBUS-04-R12__2022-09-07__18-21-19,CEBUS-04-R12__2022-09-07__18-37-37,4,H5,offscreen,"Adult male (ABE), subadult male, juvenile 2x","mostly hear howler vocalizing off screen and other howlers responding. Hear adult female howler contact calling and infant answering with lost call (videos 18-23-52, 18-25-00). Have ABE eating coconut, subadult male there too. Seems tense and threatening things off screen",several videos in a row,,,,,,,,,,,,,,,,
08/09/2022,06:46:09,CEBUS-06,Video,CEBUS-06-R12__2022-09-08__06-46-09,,5,H5,BAL,"Adult male, adult unknown, subadult male, juvenile, juvenile male (BAL) + howler","See BAL traveling with howler dorsal, others foraging on beach","traveling, howler on back",,,,,,,,,,,,,,,,
08/09/2022,07:19:28,CEBUS-07,Image,CEBUS-07-R12__2022-09-08__07-19-28(1),CEBUS-07-R12__2022-09-08__07-20-03(1),1,H6,MIC,Subadult male (MIC) + howler dorsal ,subadult (MIC) with small howler on back. Howler looks injured/very weak. Definitely not howler from 09-07,,,,,,,,,,,,,,,,,
08/09/2022,07:52,CEBUS-08,Image,,,,,,,Balthasar (torn ear)  no howler,,,,,,,,,,,,,,,,,
08/09/2022,15:35:19,CEBUS-04,Video,CEBUS-04-R12__2022-09-08__15-35-21,CEBUS-04-R12__2022-09-08__15-40-32,2,H6,TER,"Subadult male (TER) + howler ventral, subadult male","Howler ventral, trying to nurse? Makes vocalization. Carrier nips at howler when it tries to nurse",Using tools with the howler ventral!! Seems dangerous,,,,,,,,,,,,,,,,
08/09/2022,15:38,CEBUS-02,Video,,,,,,,Balthasar (torn ear)  no howler,,,,,,,,,,,,,,,,,
08/09/2022,16:30,CEBUS-04,Video,,until like 16:40 (sounds of fight around 16:43_,,,,,Balthasar (torn ear)  no howler,,,,,,,,,,,,,,,,,
08/09/2022,17:18,CEBUS-11,Video,,,,,,,Balthasar (torn ear)  no howler,,,,,,,,,,,,,,,,,
08/09/2022,17:32:16,CEBUS-11,Video,CEBUS-11-R12__2022-09-08__17-32-16,CEBUS-11-R12__2022-09-08__17-45-30,5,H6,TER,"Subadult male (TER) + howler ventral, adult male, adult female, juvenile 2x","subadult male (TER with howler, howler is small and looking sleepy/drowsy. Using tools",several videos in a row,,,,,,,,,,,,,,,,
08/09/2022,18:11:37,CEBUS-02,Video,CEBUS-02-R12__2022-09-08__18-11-41,CEBUS-02-R12__2022-09-08__18-17-34,5,H6,TER,"Subadult male (TER) + howler, adult female, subadult male (MIC), juvenile 2x","TER Using tools with howler baby that looks weak, howler infant also slides off from dorsal to ventral, is weakening",Joker eating coconut,,,,,,,,,,,,,,,,
09/09/2022,07:01:00,CEBUS-04,Video,,also at 8:20,,,,,"BAL using tools, no howler",,,,,,,,,,,,,,,,,
09/09/2022,14:19:12,CEBUS-07,Image,CEBUS-07-R12__2022-09-09__14-19-12(1),CEBUS-07-R12__2022-09-09__14-20-47(66),1,H5,BAL,Juvenile male (BAL) ,BAL using tools,BAL using tools,,,,,,,,,,,,,,,,
09/09/2022,14:33:19,CEBUS-04,Image,CEBUS-04-R12__2022-09-09__14-33-23,CEBUS-04-R12__2022-09-09__14-34-30,1,H5,BAL,Juvenile male (BAL) ,"BAL with healthy howler infant on back, howler runs away from BAL while vocalizing",BAL using tools,,,,,,,,,,,,,,,,
09/09/2022,14:36:41,CEBUS-02,Video,CEBUS-02-R12__2022-09-09__14-36-44,,1,H5,BAL,Juvenile male (BAL) ,BAL using tools,using tools with howler on back. Might not be same howler as 08/09. looks bigger and healthier,,,,,,,,,,,,,,,,
09/09/2022,14:39:46,TU-137,Image,TU-137__2022-09-09__14-39-46(1),TU-137__2022-09-09__14-40-14(20),2,H5,BAL,"Juvenile male (BAL),, adult female",Traveling through,Subadult male carrying howler dorsally while traveling. ,,,,,,,,,,,,,,,,
09/09/2022,17:01:15,CEBUS-11,Video,CEBUS-11-R12__2022-09-09__17-01-20,CEBUS-11-R12__2022-09-09__17-02-34,8,H5,BAL,"Adult female (2x) juvenile male (BAL) with howler dorsal, subadult male, adult male, juvenile 3x","BAL using tools, others are foraging and grooming",two videos in a row,,,,,,,,,,,,,,,,
09/09/2022,17:04:39,CEBUS-11,Video,CEBUS-11-R12__2022-09-09__17-04-37,,8,H5,BAL,"Adult female (2x) juvenile male (BAL) with howler dorsal, subadult male, adult male 2x (ABE and unknown), juvenile 2x",BAL with howler ventral,eating anvil debris,,,,,,,,,,,,,,,,
09/09/2022,17:38:43,CEBUS-05,Video,,,,,,,"BAL using tools, no howler",,,,,,,,,,,,,,,,,
10/09/2022,07:47:12,CEBUS-05,Video,CEBUS-05-R12__2022-09-10__07-47-14,,1,H5,MIC,Subadult male (MIC),subadult male (MIC) with howler that is vocalizing and lost-calling a lot. Hear howler in next video too (smaller howler? Not one BAL had?),Joker using tools without howler,,,,,,,,,,,,,,,,
10/09/2022,08:26:04,CEBUS-02,Video,CEBUS-02-R12__2022-09-10__08-26-04,,2,H5,MIC,Subadult male 2x (MIC and unknown),subadult male (MIC) with healthy looking howler,traveling,,,,,,,,,,,,,,,,
10/09/2022,08:31:28,CEBUS-02,Video,CEBUS-02-R12__2022-09-10__08-31-32,CEBUS-02-R12__2022-09-10__08-33-55,2,H5,MIC,Subadult male 2x (MIC and unknown),subadult male (MIC) using tools with healthy looking howler,using tools. healthy looking howler (same as with torn ear capuchin?),,,,,,,,,,,,,,,,
10/09/2022,08:46:51,CEBUS-11,Video,CEBUS-11-R12__2022-09-10__08-46-47,,3,H5,MIC,"Subadult male (MIC), juvenile 2x",subadult male (MIC) using tools with healthy looking howler. Howler pees,using tools.howler vocalizing,,,,,,,,,,,,,,,,
10/09/2022,16:54:21,CEBUS-08,Images,CEBUS-08-R12__2022-09-10__16-54-21(1),CEBUS-08-R12__2022-09-10__16-54-38(30),1,?,BAL,juvenile male (BAL),"balthasar with howler ventral, can't clearly identify whether it's H5 or H6",,,,,,,,,,,,,,,,,
11/09/2022,09:04:59,CEBUS-04,Video,CEBUS-04-R12__2022-09-11__09-04-58,CEBUS-04-R12__2022-09-11__09-06-06,2,H5,BAL,"juvenile male (BAL) + howler, adult male",BAL with howler on back using tools,,,,,,,,,,,,,,,,,
11/09/2022,09:15:00,CEBUS-02,Video,CEBUS-02-R12__2022-09-11__09-15-13,,3,H5,BAL,"Juvenile male (BAL) + howler, Adult male, subadult male (TER)",In background see subadult/juvenile carrying howler,looks like Joker in front on the anvil?? Help,,,,,,,,,,,,,,,,
11/09/2022,09:15:42,CEBUS-04,Video,CEBUS-04-R12__2022-09-11__09-15-45,CEBUS-04-R12__2022-09-11__09-17-10,2,H5,BAL,"juvenile male (BAL) + howler, subadult male (TER)",BAL with howler on back using tools. Howler is weakening,howler looks quite weak. Does Joker come in in second video around 9:17?,,,,,,,,,,,,,,,,
11/09/2022,09:24:42,CEBUS-04,Video,CEBUS-04-R12__2022-09-11__09-24-43,CEBUS-04-R12__2022-09-11__09-28-51,2,H5,BAL,"Juvenile male (BAL) + howler, subadult male (TER)",BAL with howler using tools,"howler vocalizes, crawls off, tries to eat. Looks weak. Time sync between CEBUS-02 and CEBUS-04 must be slightly off",,,,,,,,,,,,,,,,
11/09/2022,09:24:49,CEBUS-02,Video,CEBUS-02-R12__2022-09-11__09-24-52,,4,H5,BAL,"Juvenile male (BAL) + howler, subadult male (TER), adult male 2x (SPT and other)","definitely BAL with howler, using tools. Several videos showing up in background",,,,,,,,,,,,,,,,,
11/09/2022,09:30:18,CEBUS-04,Video,CEBUS-04-R12__2022-09-11__09-30-18,CEBUS-04-R12__2022-09-11__09-31-27,2,H5,BAL,"Juvenile male (BAL) + howler, subadult male (TER)",BAL with howler on back. Subadult (TER) comes to inspect them. Both capuchins vigilant to weird sound !,,,,,,,,,,,,,,,,,
11/09/2022,09:43:35,CEBUS-04,Video,CEBUS-04-R12__2022-09-11__09-43-36,CEBUS-04-R12__2022-09-11__09-44-59,2,H5,BAL,"Juvenile male (BAL) + howler, juvenile",BAL using tools with howler on back. Displaces juvenile from anvil,,,,,,,,,,,,,,,,,
11/09/2022,09:46:23,CEBUS-04,Video,CEBUS-04-R12__2022-09-11__09-46-23,CEBUS-04-R12__2022-09-11__09-47-32,2,H5,BAL,"Juvenile male (BAL) + howler,  unknown","BAL using tools with howler on back. Grumbling sounds from howler. BAL bites howler repeatedly, seems annoyed, howler squeals at some point after being bitten (distress vocalization)",,,,,,,,,,,,,,,,,
11/09/2022,09:52:00,CEBUS-02,Video,CEBUS-02-R12__2022-09-11__09-52-32,CEBUS-02-R12__2022-09-11__09-55-04,5,H5,BAL,"Juvenile male (BAL) + howler,  adult male (SPT), subadult male (TER), juvenile 2x","BAL carrying howler, doesn’t seem to handle it (keeps trying to grab it?). Several videos",,,,,,,,,,,,,,,,,
11/09/2022,10:32:24,CEBUS-08,Image,CEBUS-08-R12__2022-09-11__10-32-24(1),CEBUS-08-R12__2022-09-11__10-32-42(30),2,H5,BAL,"Juvenile male (BAL) + howler, adult male",Balthasar with howler dorsal.  Adult male (SMG?) present,,,,,,,,,,,,,,,,,
11/09/2022,11:45:30,TU-187,Image,TU-187__2022-09-11__11-45-30(1),TU-187__2022-09-11__11-45-42(20),1,?,Subadult male,subadult male,"Subadult male carrying howler on side, unable to ID howler but likely H5",,,,,,,,,,,,,,,,,
11/09/2022,15:15:31,CEBUS-04,Video,,several videos,,,,hear adult male howler roar,"Hear adult male howler roaring and capuchins twittering, several videos",,,,,,,,,,,,,,,,,
11/09/2022,15:29:32,TU-187,Image,TU-187__2022-09-11__15-29-32(1),TU-187__2022-09-11__15-29-45(20),3,?,Subadult male,"subadult male, two juvenile/subadult capuchins",Subadult male carrying howler on back. Traveling through. Unable to ID howler but likely H5,,,,,,,,,,,,,,,,,
11/09/2022,17:29:32,CEBUS-08,Image,CEBUS-08-R12__2022-09-11__17-29-32(1),CEBUS-08-R12__2022-09-11__17-29-51(30),2,H5,BAL,"Juvenile male (BAL) + howler, juvenile","BAL with howler ventral, juvenile using tools",,,,,,,,,,,,,,,,,
12/09/2022,10:38:11,CEBUS-11,Video,,,,,,,Balthasar clearly without howler. ,,,,,,,,,,,,,,,,,
